row_id,book_title,book_author,book_publication_year,film_title,movie_release_year,release_period,genre_bucket,match_confidence,fiction_work_raw,film_adaptation_raw,source_page_url,book_avg_rating,book_ratings_count,book_reviews_count,book_page_count,book_series_indicator,book_description,book_description_length,goodreads_match_title,goodreads_match_score,movie_release_month,runtime_minutes,mpaa_rating,distributor,movie_genre_raw,imdb_vote_count,imdb_rating,top_500_box_office
1,A Love in Germany,Rolf Hochhuth,1978,A Love in Germany,1983,1980_1984,Drama_Literary,medium,"A Love in Germany (German: Eine Liebe in Deutschland) (1978), Rolf Hochhuth",A Love in Germany (1983),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R),,,,,,,,,0,10.0,110.0,,,"Drama,Romance,War",441.0,6.5,0
2,A Letter to Five Wives,John Klempner,1945,A Letter to Three Wives,1985,1985_1989,Drama_Literary,medium,"A Letter to Five Wives (1945), John Klempner",A Letter to Three Wives (1985),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R),,,,,,,,,0,12.0,,,,,,,0
3,58 Minutes,Walter Wager,1987,Die Hard 2,1990,1990_1994,Drama_Literary,medium,"58 Minutes (1987), Walter Wager",Die Hard 2 (1990),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",3.64,9.0,2.0,,0.0,,0.0,59 Minutes,90,7.0,124.0,R,Netflix | MOKÉP | Disney+,"Action,Thriller",406006.0,7.2,0
4,A Running Duck,Paula Gosling,1974,Fair Game,1995,1995_1999,Drama_Literary,medium,"A Running Duck (a.k.a. Fair Game) (1974), Paula Gosling",Fair Game (1995),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R),3.69,57.0,8.0,202.0,0.0,"Clare Randell, copywriter for a major San Francisco advertising agency, is running for a cab one evening when she is suddenly, inexplicably shot by a sniper. When the police investigate, Lieutenant Mike Malchek discerns the mark of Edison, a deadly assassin he's been tracking for years. Then Clare's fiance is killed in a second attempt on her life, and the cold, silent Malchek is assigned to protect her. This is the intriguing story of antagonists who fall in love under nerve-shattering circumstances. And just as Clare and Malchek begin to realize their passion for one another, Edison is after them again, full force.",624.0,A Running Duck,100,11.0,91.0,R,Warner Bros. Entertainment | Netflix,"Action,Romance,Thriller",14681.0,4.4,0
5,69,Ryu Murakami,1987,69,2004,2000_2004,Drama_Literary,medium,"69 (シクスティナイン, Shikusutinain) (1987), Ryu Murakami",69 (2004),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",,,,,,,,,0,7.0,114.0,,Toei Company,"Comedy,Drama",518.0,6.7,0
6,A Good Year,Peter Mayle,2004,A Good Year,2006,2005_2009,Drama_Literary,medium,"A Good Year (2004), Peter Mayle",A Good Year (2006),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(D%E2%80%93J),3.61,5283.0,560.0,287.0,0.0,"The writer with a claim to being the world's foremost literary escape artist is back, with an intoxicating novel about the business and pleasure of wine, set in his beloved Provence.
Max Skinner has recently lost his job at a London financial firm and just as recently learned that he has inherited his late uncle's vineyard in Provence. On arrival he finds the climate delicious, the food even better, and two of the locals ravishing. Unfortunately, the wine produced on his new property is swill. Why then are so many people interested in it? Enter a beguiling Californian who knows more about wine than Max does - and may have a better claim to the estate. Fizzy with intrigue, bursting with local color and savor, A Good Yearis Mayle at his most entertaining.",763.0,A Good Year,100,9.0,117.0,PG-13,20th Century Studios | Netflix | Fandango at Home,"Comedy,Drama,Romance",106688.0,6.9,0
7,A Princess of Mars,Edgar Rice Burroughs,1917,John Carter,2012,2010_2014,Drama_Literary,medium,"A Princess of Mars (1917), Edgar Rice Burroughs",John Carter (2012),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R),3.8,69.0,22.0,445.0,1.0,"Her oval face was beautiful in the extreme, her every feature finely chisled and exquisite, her eyes large and lustrous and her head surmounted by a mass of coal black, waving hair, caught loosely into a strange yet becoming coiffure. Similar in face and figure to women of Earth, she was nevertheless a true Martian--and prisoner of the fierce green giants who held me captive, as well!
First book in Edgar Rice Burroughs's Mars series.",437.0,A Princess of Mars,100,3.0,132.0,PG-13,Netflix | Walt Disney Studios Motion Pictures | Disney+,"Action,Adventure,Sci-Fi",298203.0,6.6,0
8,A Watcher in the Woods,Florence Engel Randall,1976,The Watcher in the Woods,2017,2015_2019,Drama_Literary,medium,"A Watcher in the Woods (1976), Florence Engel Randall",The Watcher in the Woods (2017),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(S%E2%80%93Z),3.46,333.0,59.0,,0.0,"When their family moves into a house at the edge of a forest, two sisters sense an invisible presence as strange occurrences take place.",136.0,The Watcher in the Woods,100,10.0,,,Lifetime,,,,0
9,All Quiet on the Western Front,Erich Maria Remarque,1929,All Quiet on the Western Front,2022,2020_2024,Drama_Literary,medium,"All Quiet on the Western Front (German: Im Westen nichts Neues) (1929), Erich Maria Remarque",All Quiet on the Western Front (2022),"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)",3.93,255610.0,5480.0,296.0,1.0,"This is the testament of Paul Baumer, who enlists with his classmates in the German army of World War I. These young men become enthusiastic soldiers, but their world of duty, culture, and progress breaks into pieces under the first bombardment in the trenches.
Through years of vivid horror, Paul holds fast to a single vow: to fight against the hatred that meaninglessly pits young men of the same generation but different uniforms against one another - if only he can come out of the war alive.",497.0,All Quiet on the Western Front,100,10.0,148.0,R,Netflix,"Drama,History,War",312106.0,7.8,0
10,A Passage to India,E. M. Forster,1924,A Passage to India,1984,1980_1984,Drama_Literary,medium,"A Passage to India (1924), E. M. Forster",A Passage to India (1984),https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(K%E2%80%93R),3.67,2366.0,280.0,362.0,0.0,"E. M. Forster's exquisitely observed novel about the clash of cultures and the consequences of perception, set in colonial India 
Among the greatest novels of the twentieth century and the basis for director David Lean's Academy Award-winning film, A Passage to Indiaunravels the growing racial tension between Indians, uneasy at best with colonial power, and the British, largely ignorant and dismissive of the society they're infiltrating. A sudden moment of confusion results in a devastating series of events that threatens to ruin a man's life, revealing just how deeply--and swiftly--prejudice has taken root.",615.0,A Passage to India,100,12.0,164.0,PG,Netflix | EMI Films,"Adventure,Drama,History",22996.0,7.3,0
