"primaryTitle","startYear","domestic_gross","averageRating","numVotes","runtimeMinutes","genres","is_book"
"Avengers: Endgame",2019,857190335,8.4,1440267,"181","Action,Adventure,Sci-Fi",0
"Avatar",2009,760507625,7.9,1494409,"162","Action,Adventure,Fantasy",0
"Black Panther",2018,700059566,7.3,907124,"134","Action,Adventure,Sci-Fi",0
"Avengers: Infinity War",2018,678815482,8.4,1366392,"149","Action,Adventure,Sci-Fi",0
"Titanic",1997,659363944,8,1388954,"194","Drama,Romance",0
"Jurassic World",2015,652270625,6.9,727985,"124","Action,Adventure,Sci-Fi",0
"Incredibles 2",2018,608581744,7.5,369373,"118","Action,Adventure,Animation",0
"The Dark Knight",2008,535234033,9.1,3158311,"152","Action,Crime,Drama",0
"Rogue One: A Star Wars Story",2016,532177324,7.8,753625,"133","Action,Adventure,Sci-Fi",0
"Finding Dory",2016,486295561,7.2,333112,"97","Adventure,Animation,Comedy",0
"Star Wars: Episode I - The Phantom Menace",1999,474544677,6.5,924086,"136","Action,Adventure,Fantasy",0
"Avengers: Age of Ultron",2015,459005868,7.3,998036,"141","Action,Adventure,Sci-Fi",0
"The Dark Knight Rises",2012,448139099,8.4,1988496,"164","Action,Crime,Drama",0
"Shrek 2",2004,441226247,7.4,554001,"93","Adventure,Animation,Comedy",0
"Captain Marvel",2019,426829839,6.7,657108,"123","Action,Adventure,Sci-Fi",0
"The Hunger Games: Catching Fire",2013,424668047,7.5,771912,"146","Action,Adventure,Sci-Fi",1
"Pirates of the Caribbean: Dead Man's Chest",2006,423315812,7.4,824232,"151","Action,Adventure,Fantasy",0
"The Lion King",1994,422783777,8.5,1255325,"88","Adventure,Animation,Drama",0
"Jurassic World: Fallen Kingdom",2018,417719760,6.1,380446,"128","Action,Adventure,Sci-Fi",0
"Toy Story 3",2010,415004880,8.3,967419,"103","Adventure,Animation,Comedy",0
"Wonder Woman",2017,412563408,7.3,734600,"141","Action,Adventure,Fantasy",0
"Iron Man 3",2013,409013994,7.1,963499,"130","Action,Adventure,Sci-Fi",0
"Captain America: Civil War",2016,408084349,7.8,924752,"147","Action,Sci-Fi",0
"The Hunger Games",2012,408010692,7.2,1078886,"142","Action,Adventure,Sci-Fi",1
"Toy Story 4",2019,404979743,7.6,313371,"100","Adventure,Animation,Comedy",0
"Jumanji: Welcome to the Jungle",2017,404564861,6.9,501288,"119","Action,Adventure,Comedy",0
"Spider-Man",2002,403706375,7.4,965574,"121","Action,Adventure,Sci-Fi",0
"Jurassic Park",1993,402828120,8.2,1174069,"127","Action,Adventure,Sci-Fi",1
"Transformers: Revenge of the Fallen",2009,402111870,6,453452,"149","Action,Adventure,Sci-Fi",0
"Frozen",2013,400738009,7.4,711689,"102","Adventure,Animation,Comedy",0
"Guardians of the Galaxy Vol. 2",2017,389813101,7.6,826865,"136","Action,Adventure,Comedy",0
"Finding Nemo",2003,380843261,8.2,1204659,"100","Adventure,Animation,Comedy",0
"Star Wars: Episode III - Revenge of the Sith",2005,380270577,7.7,918988,"140","Action,Adventure,Fantasy",0
"The Lord of the Rings: The Return of the King",2003,377845905,9,2159154,"201","Adventure,Drama,Fantasy",0
"Spider-Man 2",2004,373585825,7.5,782476,"127","Action,Adventure,Sci-Fi",0
"The Passion of the Christ",2004,370782930,7.3,273576,"127","Drama",0
"The Secret Life of Pets",2016,368384330,6.5,235317,"86","Adventure,Animation,Comedy",0
"Despicable Me 2",2013,368061265,7.3,458587,"98","Adventure,Animation,Comedy",0
"Deadpool",2016,363070709,8,1250677,"108","Action,Comedy,Sci-Fi",0
"Inside Out",2015,356461711,8.1,912068,"95","Adventure,Animation,Comedy",0
"Spider-Man: Far from Home",2019,354788925,7.3,636546,"129","Action,Adventure,Comedy",0
"Furious 7",2015,353007020,7.1,438978,"137","Action,Thriller",0
"Transformers: Dark of the Moon",2011,352390543,6.2,455136,"154","Action,Adventure,Comedy",0
"American Sniper",2014,350126372,7.3,568384,"133","Action,Biography,Drama",0
