book_title,book_author,film_title,film_year,fiction_work_raw,film_adaptation_raw,exclusion_reason
One Thousand and One Nights,,Scooby-Doo in Arabian Nights,1994,One Thousand and One Nights (Arabic: أَلْفُ لَيْلَةٍ وَلَيْلَةٌ ʾAlf Laylah wa-Laylah),Scooby-Doo in Arabian Nights (1994),missing_book_title_or_author
One Thousand and One Nights,,Arabian Nights,2015,One Thousand and One Nights (Arabic: أَلْفُ لَيْلَةٍ وَلَيْلَةٌ ʾAlf Laylah wa-Laylah),Arabian Nights (Portuguese: As Mil e uma Noites) (2015),missing_book_title_or_author
Amu,Shonali Bose,Amu,2005,"Amu (2005), Shonali Bose",Amu (2005),book_not_published_before_film
Christine,Stephen King,Christine,1983,"Christine (1983), Stephen King",Christine (1983),book_not_published_before_film
The Christmas Secret,Donna VanLiere,The Christmas Secret,2002,"The Christmas Secret (2009), Donna VanLiere",The Christmas Secret (2002),book_not_published_before_film
The Christmas Shoes,Donna VanLiere,The Christmas Shoes,2002,"The Christmas Shoes (2002), Donna VanLiere",The Christmas Shoes (2002),book_not_published_before_film
Cocoon,David Saperstein,Cocoon,1985,"Cocoon (1985), David Saperstein",Cocoon (1985),book_not_published_before_film
Dinner with a Perfect Stranger: An Invitation Worth Considering,David Gregory,The Perfect Stranger,2005,"Dinner with a Perfect Stranger: An Invitation Worth Considering (2005), David Gregory",The Perfect Stranger (2005),book_not_published_before_film
Disclosure,Michael Crichton,Disclosure,1994,"Disclosure (1994), Michael Crichton",Disclosure (1994),book_not_published_before_film
Kowloon Tong,Paul Theroux,Chinese Box,1997,"Kowloon Tong (1997), Paul Theroux",Chinese Box (1997),book_not_published_before_film
A Lost Paradise,Junichi Watanabe,Lost Paradise,1997,"A Lost Paradise (失楽園, Shitsurakuen) (1997), Junichi Watanabe",Lost Paradise (1997),book_not_published_before_film
The Shadow Riders,Louis L'Amour,The Shadow Riders,1982,"The Shadow Riders (1982), Louis L'Amour",The Shadow Riders (1982),book_not_published_before_film
Sideways,Rex Pickett,Sideways,2004,"Sideways (2004), Rex Pickett",Sideways (2004),book_not_published_before_film
The Sixth of May,Tomas Ross,06/05,2003,"The Sixth of May (Dutch: De Zesde Mei) (2003), Tomas Ross",06/05 (2003),book_not_published_before_film
The Song of the Damned,Austregésilo Carrano Bueno,Brainstorm,2000,"The Song of the Damned (Portuguese: Canto dos Malditos) (2001), Austregésilo Carrano Bueno",Brainstorm (Portuguese: Bicho de Sete Cabeças) (2000),book_not_published_before_film
Spirales,Christopher Frank,Spirale,1987,"Spirales (1987), Christopher Frank",Spirale (1987),book_not_published_before_film
Adolphe,Benjamin Constant,Adolphe,2002,"Adolphe (1816), Benjamin Constant",Adolphe (2002),book_published_1850_or_earlier_or_unknown_year
Beowulf,unknown,Beowulf,1999,"Beowulf (c. 700–1000 AD), unknown",Beowulf (1999),book_published_1850_or_earlier_or_unknown_year
Beowulf,unknown,Beowulf & Grendel,2005,"Beowulf (c. 700–1000 AD), unknown",Beowulf & Grendel (2005),book_published_1850_or_earlier_or_unknown_year
Beowulf,unknown,Beowulf,2007,"Beowulf (c. 700–1000 AD), unknown",Beowulf (2007),book_published_1850_or_earlier_or_unknown_year
The Count of Monte Cristo,"Alexandre Dumas, père",Padayottam,1982,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",Padayottam (Malayalam: പടയോട്ടം) (1982),book_published_1850_or_earlier_or_unknown_year
The Count of Monte Cristo,"Alexandre Dumas, père",Veta,1986,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",Veta (Telugu: వేట) (1986),book_published_1850_or_earlier_or_unknown_year
The Count of Monte Cristo,"Alexandre Dumas, père",The Prisoner of Château d'If,1988,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",The Prisoner of Château d'If (Russian: Узник замка Иф) (1988),book_published_1850_or_earlier_or_unknown_year
The Count of Monte Cristo,"Alexandre Dumas, père",The Count of Monte-Cristo,1992,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",The Count of Monte-Cristo (1992),book_published_1850_or_earlier_or_unknown_year
The Count of Monte Cristo,"Alexandre Dumas, père",The Count of Monte Cristo,1997,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",The Count of Monte Cristo (1997),book_published_1850_or_earlier_or_unknown_year
The Count of Monte Cristo,"Alexandre Dumas, père",The Count of Monte Cristo,2002,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",The Count of Monte Cristo (2002),book_published_1850_or_earlier_or_unknown_year
The Count of Monte Cristo,"Alexandre Dumas, père",The Count of Monte Cristo,2024,"The Count of Monte Cristo (French: Le comte de Monte Cristo) (1844–1846), Alexandre Dumas, père",The Count of Monte Cristo (2024),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Les Liaisons dangereuses,1980,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Les Liaisons dangereuses (1980),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Dangerous Liaisons,1988,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Dangerous Liaisons (1988),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Valmont,1989,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Valmont (1989),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Cruel Intentions,1999,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Cruel Intentions (1999),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Untold Scandal,2003,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Untold Scandal (2003),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Michael Lucas' Dangerous Liaisons,2005,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Michael Lucas' Dangerous Liaisons (2005),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Dangerous Liaisons,2012,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Dangerous Liaisons (Chinese: 危險關係) (2012),book_published_1850_or_earlier_or_unknown_year
The Dangerous Liaisons,Pierre Choderlos de Laclos,Dangerous Liaisons,2022,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",Dangerous Liaisons (2022),book_published_1850_or_earlier_or_unknown_year
David Copperfield,Charles Dickens,David Copperfield,1983,"David Copperfield (serialised 1849–1850, published as a book 1850), Charles Dickens",David Copperfield (1983),book_published_1850_or_earlier_or_unknown_year
