Rank,Title,Domestic Gross,Year,is_book,is_book_match_src,is_book_match,imdb_rating,imdb_vote_count,runtime_minutes,movie_genre_raw,movie_release_month,mpaa_rating,distributor,book_avg_rating,book_ratings_count,book_reviews_count,book_page_count,book_series_indicator,book_description_length,goodreads_match_score
1,Star Wars: Episode VII - The Force Awakens,936662225,2015,0,,,7.7,1021587.0,138.0,"Action,Adventure,Sci-Fi",12.0,PG-13,,,,,,,,
2,Avengers: Endgame,858373000,2019,0,,,8.4,1431477.0,181.0,"Action,Adventure,Sci-Fi",4.0,PG-13,Walt Disney Studios Motion Pictures | Fandango at Home,,,,,,,
3,Spider-Man: No Way Home,814866759,2021,0,,,8.1,1007436.0,148.0,"Action,Adventure,Fantasy",12.0,PG-13,Sony Pictures | InterCom | Sony Pictures Motion Picture Group,,,,,,,
4,Avatar,785221649,2009,0,,,7.9,1489182.0,162.0,"Action,Adventure,Fantasy",12.0,PG-13,Fórum Hungary | Disney+,,,,,,,
5,Top Gun: Maverick,718732821,2022,0,,,8.2,849158.0,130.0,"Action,Drama",5.0,PG-13,Paramount Pictures | UIP-Dunafilm,,,,,,,
6,Black Panther,700426566,2018,0,,,7.3,903997.0,134.0,"Action,Adventure,Sci-Fi",2.0,PG-13,Walt Disney Studios Motion Pictures | Disney+,,,,,,,
7,Avatar: The Way of Water,688459501,2022,0,,,7.5,604801.0,192.0,"Action,Adventure,Animation",12.0,PG-13,Walt Disney Pictures | 20th Century Studios | Fórum Hungary | Disney+,,,,,,,
8,Avengers: Infinity War,678815482,2018,0,,,8.4,1358778.0,149.0,"Action,Adventure,Sci-Fi",4.0,PG-13,Warner Bros. Entertainment | Walt Disney Studios Motion Pictures | United International Pictures,,,,,,,
9,Titanic,674354882,1997,0,,,8.0,1383917.0,194.0,"Drama,Romance",12.0,PG-13,Paramount Pictures | InterCom,,,,,,,
10,Jurassic World,653406625,2015,1,wikipedia_raw,Jurassic World (2015),6.9,725599.0,124.0,"Action,Adventure,Sci-Fi",6.0,PG-13,Universal Pictures | UIP-Dunafilm,3.97,1154.0,137.0,448.0,1.0,1176.0,100.0
11,Inside Out 2,652980194,2024,0,,,7.5,246037.0,96.0,"Adventure,Animation,Comedy",6.0,PG,,,,,,,,
12,Deadpool & Wolverine,636745858,2024,0,,,7.5,559548.0,128.0,"Action,Adventure,Comedy",7.0,R,Fórum Hungary | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
13,Barbie,636238421,2023,0,,,6.8,662694.0,114.0,"Adventure,Comedy,Fantasy",7.0,PG-13,Warner Bros. Entertainment | Microsoft Store | InterCom,,,,,,,
14,The Avengers,623357910,2012,0,,,8.0,1550038.0,143.0,"Action,Sci-Fi",4.0,PG-13,Walt Disney Studios Motion Pictures | Disney+,,,,,,,
15,Star Wars: Episode VIII - The Last Jedi,620181382,2017,0,,,6.8,714790.0,152.0,"Action,Adventure,Fantasy",,,,,,,,,,
16,Incredibles 2,608581744,2018,0,,,7.5,367299.0,118.0,"Action,Adventure,Animation",6.0,PG,,,,,,,,
17,The Super Mario Bros. Movie,574934330,2023,0,,,7.0,284801.0,92.0,"Adventure,Animation,Comedy",4.0,PG,,,,,,,,
18,The Lion King,543638043,2019,0,,,6.8,290477.0,118.0,"Adventure,Animation,Drama",7.0,PG,Walt Disney Studios Motion Pictures,,,,,,,
19,The Dark Knight,534987076,2008,0,,,9.1,3144484.0,152.0,"Action,Crime,Drama",7.0,PG-13,Warner Bros. Entertainment | Netflix,,,,,,,
20,Rogue One: A Star Wars Story,533539991,2016,0,,,7.8,750984.0,133.0,"Action,Adventure,Sci-Fi",12.0,PG-13,Netflix | Fórum Hungary | Walt Disney Studios Motion Pictures,,,,,,,
21,Star Wars: Episode IX - The Rise of Skywalker,515202542,2019,0,,,6.3,538271.0,141.0,"Action,Adventure,Fantasy",12.0,PG-13,,,,,,,,
22,Beauty and the Beast,504481165,2017,0,,,7.1,357102.0,129.0,"Adventure,Family,Fantasy",3.0,PG,Microsoft Store | Walt Disney Pictures | Netflix,,,,,,,
23,Star Wars: Episode I - The Phantom Menace,487576624,1999,0,,,6.5,921150.0,136.0,"Action,Adventure,Fantasy",5.0,PG,,,,,,,,
24,Finding Dory,486295561,2016,0,,,7.2,331711.0,97.0,"Adventure,Animation,Comedy",6.0,PG,,,,,,,,
25,Frozen II,477373578,2019,0,,,6.8,217313.0,103.0,"Adventure,Animation,Comedy",11.0,PG,,,,,,,,
26,Wicked,474983975,2024,1,adaptation_dataset,Wicked,7.3,226294.0,160.0,"Fantasy,Musical,Romance",10.0,PG,Universal Pictures | UIP-Dunafilm,3.52,913.0,124.0,406.0,1.0,837.0,100.0
27,Star Wars: Episode IV - A New Hope,460998507,1977,0,,,8.6,1561371.0,121.0,"Action,Adventure,Fantasy",,,,,,,,,,
28,Moana 2,460405297,2024,0,,,6.3,123477.0,100.0,"Adventure,Animation,Comedy",11.0,PG,Walt Disney Studios Motion Pictures,,,,,,,
29,Avengers: Age of Ultron,459005868,2015,0,,,7.3,994024.0,141.0,"Action,Adventure,Sci-Fi",4.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures,,,,,,,
30,Black Panther: Wakanda Forever,453829060,2022,0,,,6.6,366415.0,161.0,"Action,Adventure,Drama",11.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
31,The Dark Knight Rises,448149584,2012,0,,,8.4,1981492.0,164.0,"Action,Crime,Drama",7.0,PG-13,Netflix | InterCom,,,,,,,
32,Shrek 2,444978202,2004,0,,,7.4,551742.0,93.0,"Adventure,Animation,Comedy",5.0,PG,,,,,,,,
33,E.T. the Extra-Terrestrial,439454989,1982,0,,,7.9,469514.0,115.0,"Adventure,Family,Sci-Fi",6.0,PG,Universal Pictures | Netflix,,,,,,,
34,Toy Story 4,434038008,2019,0,,,7.6,311636.0,100.0,"Adventure,Animation,Comedy",6.0,G,,,,,,,,
35,Zootopia 2,428130160,2025,0,,,7.4,93746.0,108.0,"Action,Adventure,Animation",11.0,PG,,,,,,,,
36,Captain Marvel,426829839,2019,0,,,6.7,654683.0,123.0,"Action,Adventure,Sci-Fi",3.0,PG-13,Walt Disney Studios Motion Pictures | Disney+,,,,,,,
37,The Lion King,424979720,1994,0,,,8.5,1250876.0,88.0,"Adventure,Animation,Drama",6.0,G,,,,,,,,
38,The Hunger Games: Catching Fire,424668047,2013,1,wikipedia_raw,The Hunger Games: Catching Fire (2013),7.5,769739.0,146.0,"Action,Adventure,Sci-Fi",11.0,PG-13,Netflix | Fórum Hungary | Xfinity Streampix,4.3,212.0,14.0,439.0,1.0,618.0,100.0
39,A Minecraft Movie,424087780,2025,0,,,5.6,155023.0,101.0,"Action,Adventure,Comedy",3.0,PG,Warner Bros. Pictures,,,,,,,
40,Lilo & Stitch,423778855,2025,0,,,6.7,92321.0,108.0,"Action,Adventure,Comedy",5.0,PG,The Walt Disney Company | Fórum Hungary | Disney+,,,,,,,
41,Pirates of the Caribbean: Dead Man's Chest,423315812,2006,0,,,7.4,821558.0,151.0,"Action,Adventure,Fantasy",7.0,PG-13,Netflix | Fórum Hungary | Disney+,,,,,,,
42,Jurassic World: Fallen Kingdom,417719760,2018,1,wikipedia_raw,Jurassic World: Fallen Kingdom (2018),6.1,378710.0,128.0,"Action,Adventure,Sci-Fi",6.0,PG-13,iTunes | Universal Pictures | Netflix | UIP-Dunafilm,3.97,1154.0,137.0,448.0,1.0,1176.0,100.0
43,Toy Story 3,415004880,2010,0,,,8.3,964010.0,103.0,"Adventure,Animation,Comedy",6.0,G,,,,,,,,
44,Star Wars: Episode III - Revenge of the Sith,414378291,2005,0,,,7.7,915741.0,140.0,"Action,Adventure,Fantasy",5.0,PG-13,,,,,,,,
45,Wonder Woman,412845172,2017,0,,,7.3,733227.0,141.0,"Action,Adventure,Fantasy",5.0,PG-13,Warner Bros. Entertainment | Netflix | InterCom,,,,,,,
46,Doctor Strange in the Multiverse of Madness,411331607,2022,0,,,6.9,540498.0,126.0,"Action,Adventure,Fantasy",5.0,PG-13,Fórum Hungary | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
47,Iron Man 3,409013994,2013,0,,,7.1,960332.0,130.0,"Action,Adventure,Sci-Fi",4.0,PG-13,Paramount Pictures | Walt Disney Studios Motion Pictures,,,,,,,
48,Spider-Man,408524875,2002,0,,,7.4,960601.0,121.0,"Action,Adventure,Sci-Fi",5.0,PG-13,Columbia Pictures | Netflix,,,,,,,
49,Captain America: Civil War,408084349,2016,0,,,7.8,921138.0,147.0,"Action,Sci-Fi",4.0,PG-13,Walt Disney Studios Motion Pictures | Disney+,,,,,,,
50,The Hunger Games,408010692,2012,1,wikipedia_raw,The Hunger Games (2012),7.2,1075781.0,142.0,"Action,Adventure,Sci-Fi",3.0,PG-13,Starz Entertainment | Netflix,4.34,3691.0,103.0,454.0,1.0,834.0,100.0
51,Jurassic Park,407185075,1993,1,wikipedia_raw,Jurassic Park (1993),8.2,1169374.0,127.0,"Action,Adventure,Sci-Fi",6.0,PG-13,iTunes,3.97,1154.0,137.0,448.0,1.0,1176.0,100.0
52,Jumanji: Welcome to the Jungle,404540171,2017,0,,,6.9,498634.0,119.0,"Action,Adventure,Comedy",12.0,PG-13,Columbia Pictures | Netflix | InterCom,,,,,,,
53,Avatar: Fire and Ash,404328306,2025,0,,,7.4,135486.0,197.0,"Action,Adventure,Animation",12.0,PG-13,20th Century Studios,,,,,,,
54,Transformers: Revenge of the Fallen,402111870,2009,0,,,6.0,452294.0,149.0,"Action,Adventure,Sci-Fi",6.0,PG-13,Paramount Pictures | DreamWorks | Netflix | UIP-Dunafilm,,,,,,,
55,Frozen,400953009,2013,0,,,7.4,709287.0,102.0,"Adventure,Animation,Comedy",11.0,PG,,,,,,,,
56,Spider-Man: Far from Home,391283774,2019,0,,,7.3,631899.0,129.0,"Action,Adventure,Comedy",6.0,PG-13,,,,,,,,
57,Guardians of the Galaxy Vol. 2,389813101,2017,0,,,7.6,823580.0,136.0,"Action,Adventure,Comedy",4.0,PG-13,Netflix | Walt Disney Studios Motion Pictures | Disney+,,,,,,,
58,The Lord of the Rings: The Return of the King,386975644,2003,1,adaptation_dataset,The Lord of the Rings: The Return of the King,9.0,2151503.0,201.0,"Adventure,Drama,Fantasy",12.0,PG-13,New Line Cinema,4.59,257.0,18.0,,0.0,0.0,100.0
59,Harry Potter and the Deathly Hallows: Part 2,381884297,2011,1,wikipedia_raw,Harry Potter and the Deathly Hallows – Part 2 (2011),8.1,1038651.0,130.0,"Adventure,Family,Fantasy",7.0,PG-13,,4.62,3535.0,21.0,,1.0,285.0,100.0
60,Spider-Man: Across the Spider-Verse,381593754,2023,0,,,8.5,513194.0,140.0,"Action,Adventure,Animation",5.0,PG,InterCom | Sony Pictures Motion Picture Group,,,,,,,
61,Finding Nemo,380843261,2003,0,,,8.2,1200494.0,100.0,"Adventure,Animation,Comedy",5.0,G,,,,,,,,
62,Jurassic World: Dominion,376851080,2022,1,adaptation_dataset,Jurassic World Dominion,5.6,243758.0,147.0,"Action,Adventure,Sci-Fi",6.0,PG-13,,3.97,1154.0,137.0,448.0,1.0,1176.0,100.0
63,Spider-Man 2,375087840,2004,0,,,7.5,778156.0,127.0,"Action,Adventure,Sci-Fi",6.0,PG-13,Sony Pictures | Netflix | InterCom | Sony Pictures Motion Picture Group | Disney+,,,,,,,
