rank,title,year,imdb_matched,imdb_sim,tmdb_matched,tmdb_sim
15,Star Wars: Episode VIII - The Last Jedi,2017,Star Wars: Episode VIII - The Last Jedi,1.0,,0.78
27,Star Wars: Episode IV - A New Hope,1977,Star Wars: Episode IV - A New Hope,1.0,,0.45
105,Star Wars: Episode VI - Return of the Jedi,1983,Star Wars: Episode VI - Return of the Jedi,1.0,,0.632
124,Star Wars: Episode V - The Empire Strikes Back,1980,Star Wars: Episode V - The Empire Strikes Back,1.0,,0.697
167,Harry Potter and the Prisoner of Azkaban,2016,,0.704,Harry Potter and the Prisoner of Azkaban,0.9
227,X2: X-Men United,2003,X2: X-Men United,1.0,,0.235
285,F1: The Movie,2025,F1: The Movie,1.0,,0.286
321,Men in Black 3,2012,Men in Black³,0.923,Men in Black 3,1.0
347,F9: The Fast Saga,2021,F9: The Fast Saga,1.0,,0.222
490,National Lampoon's Animal House,1978,National Lampoon's Animal House,1.0,,0.571
