predictor,coeff,se,t,p_value,ci_low,ci_high,r_squared,adj_r_squared,f_stat,f_pvalue,n
Intercept,23.016638422662215,5.948747174365968,3.869157277660802,0.00012449577670521088,11.327461093473632,34.7058157518508,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(mpaa, Treatment(""PG-13""))[T.G]",0.6632887107094092,0.18210498145959775,3.6423424850493067,0.0002999621719134937,0.30545581608202665,1.0211216053367917,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(mpaa, Treatment(""PG-13""))[T.PG]",0.22913056389664702,0.0969816808750833,2.362616958472573,0.018549423033671526,0.038563368451422636,0.41969775934187137,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(mpaa, Treatment(""PG-13""))[T.R]",0.25067129539539035,0.10485888934346344,2.390558368154377,0.017212158819887097,0.04462553211950415,0.45671705867127654,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(genre, Treatment(""Action""))[T.Adventure]",0.05944977453153756,0.10282361167390229,0.5781724018805939,0.5634223071715304,-0.1425967060556918,0.26149625511876695,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(genre, Treatment(""Action""))[T.Biography]",0.5336935115181144,0.20926725016883893,2.5502963845872926,0.011076575649522465,0.12248726510776065,0.9448997579284681,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(genre, Treatment(""Action""))[T.Comedy]",-0.21071538931657238,0.11920091050751089,-1.7677330518653642,0.07774883864451938,-0.44494295688361074,0.023512178250466004,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(genre, Treatment(""Action""))[T.Drama]",0.07935263729930538,0.14427603100655337,0.550005685252743,0.582574540761293,-0.20414707471642013,0.36285234931503085,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
"C(genre, Treatment(""Action""))[T.Other]",0.11498040005084059,0.1794446303442767,0.6407569835343798,0.5219902358758324,-0.23762495421663304,0.46758575431831423,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
runtime_minutes,0.011251466977453519,0.0016432304678666093,6.847163071447423,2.3432407628803767e-11,0.00802254973343473,0.014480384221472308,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
summer,-0.06219326542127007,0.0786099310546951,-0.791162955962871,0.42924459955604743,-0.21666031486879625,0.0922737840262561,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
holiday,0.0033674700266306673,0.09528529814638712,0.035340919240838306,0.9718227725504612,-0.18386636497265813,0.1906013050259195,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
decade,-0.008699391375885086,0.0029616166130652915,-2.937379314225673,0.003471190820462579,-0.014518912824093354,-0.0028798699276768175,0.1838633778183808,0.16320169118087158,8.898759382237179,1.8781660144675333e-15,487
