predictor,coeff,se,t,p_value,ci_low,ci_high,r_squared,adj_r_squared,f_stat,f_pvalue,n
Intercept,7.623955038099989,2.965790239894881,2.570631913054718,0.010455467247423189,1.7962324909566112,13.451677585243367,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(mpaa, Treatment(""PG-13""))[T.G]",0.08527665568115711,0.090789734513583,0.9392764076030965,0.3480672304052182,-0.09312348056473002,0.26367679192704424,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(mpaa, Treatment(""PG-13""))[T.PG]",0.05745829950331616,0.04835090720065409,1.188360318967063,0.2352865434820659,-0.03755033201678627,0.15246693102341857,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(mpaa, Treatment(""PG-13""))[T.R]",-0.1274808374117426,0.05227814554317603,-2.4385110850280136,0.015114061169176705,-0.23020641908187733,-0.024755255741607876,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(genre, Treatment(""Action""))[T.Adventure]",0.034499602208718824,0.05126344337632797,0.6729864390001118,0.5012838850086789,-0.0662321086148434,0.13523131303228103,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(genre, Treatment(""Action""))[T.Biography]",-0.3155909015146856,0.1043316768873326,-3.024880946325545,0.002622393939262612,-0.5206007021400785,-0.11058110088929268,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(genre, Treatment(""Action""))[T.Comedy]",-0.17585921364471135,0.059428462263978896,-2.959174896088538,0.003239035506748727,-0.2926350344088004,-0.059083392880622324,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(genre, Treatment(""Action""))[T.Drama]",-0.12783553498292155,0.07192984204369268,-1.7772252983020567,0.0761723450614051,-0.26917633402248786,0.013505264056644761,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
"C(genre, Treatment(""Action""))[T.Other]",-0.05570807830104219,0.08946339753182121,-0.6226912887052763,0.5337868596138824,-0.23150198709707526,0.12008583049499089,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
runtime_minutes,0.00474373301312186,0.0008192442443170593,5.790376979793547,1.2797794805855172e-08,0.003133933341519601,0.00635353268472412,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
summer,0.064348868572849,0.039191540579411654,1.6419070958045763,0.10127251023453289,-0.012661778242152075,0.14135951538785008,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
holiday,0.06703398772560443,0.0475051635184258,1.4110884535657686,0.158874531988808,-0.026312773221277508,0.16038074867248636,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
decade,0.005495563140134034,0.0014765350397120797,3.7219320858146743,0.00022143496717970138,0.0025941993056902606,0.008396926974577806,0.1864390340258627,0.16584255387461877,9.051985225475633,9.50329051072841e-16,487
